                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.6962,                 6.2047,                 2.0689,                      0,                      0,                      0,                      0,                 2.9507,                 5.5629,                 2.6652,                0.09505,                  5e-05,                  5e-05
                      1,                 1.4666,                 4.4804,                 1.1779,                0.00021,                0.00564,                0.00012,                  7e-05,                 1.8279,                 5.0555,                 1.7233,               0.089109,             0.00010891,             0.00010891
                      2,                 1.1122,                 3.5433,                  1.036,                0.15666,                0.28018,                0.17114,                0.11657,                 1.1487,                 4.0125,                 1.1134,               0.083167,             0.00016663,             0.00016663
                      3,                0.94816,                 2.6803,                0.96915,                0.49719,                0.27132,                0.23936,                0.19124,                0.86546,                 3.2193,                0.94466,               0.077223,             0.00022317,             0.00022317
                      4,                0.85704,                 2.3457,                0.93341,                0.70298,                0.33316,                0.40481,                0.33185,                0.76064,                 2.6338,                0.89885,               0.071279,             0.00027852,             0.00027852
                      5,                0.92517,                 2.1987,                0.94677,                0.83895,                0.36176,                0.55642,                0.46428,                 0.7139,                 2.1664,                0.88095,               0.065333,             0.00033268,             0.00033268
                      6,                 1.0281,                 2.1843,                0.94384,                0.59229,                0.62062,                0.70599,                0.58642,                  0.692,                 1.8217,                0.87465,               0.059386,             0.00038565,             0.00038565
                      7,                0.82386,                 1.8392,                0.91431,                0.66662,                0.70043,                0.74395,                0.62919,                0.68386,                 1.6455,                 0.8724,               0.053437,             0.00043743,             0.00043743
                      8,                0.73601,                 1.6399,                0.90327,                0.78749,                0.63729,                0.79514,                0.65948,                0.66277,                 1.4908,                0.86373,               0.047488,             0.00048802,             0.00048802
                      9,                0.83472,                 1.6876,                0.89915,                0.83415,                0.69406,                0.85174,                0.72191,                0.62549,                 1.2679,                0.84186,               0.041537,             0.00053743,             0.00053743
                     10,                0.72826,                 1.3725,                0.87717,                 0.7754,                0.78204,                0.87761,                0.76374,                0.59128,                 1.2028,                0.83714,               0.035586,             0.00058565,             0.00058565
                     11,                0.79154,                 1.3374,                0.88912,                  0.783,                0.82241,                0.90029,                0.78163,                0.57376,                 1.1295,                0.83741,               0.029633,             0.00063268,             0.00063268
                     12,                0.71476,                 1.2164,                0.87814,                0.78454,                0.83291,                0.91476,                0.78619,                0.60688,                  1.051,                0.83955,               0.023679,             0.00067852,             0.00067852
                     13,                0.67279,                 1.1143,                0.86118,                 0.8605,                0.88374,                0.92495,                 0.7931,                0.60272,                0.94827,                0.84042,               0.017723,             0.00072318,             0.00072318
                     14,                0.68023,                 1.0984,                0.85328,                 0.8605,                0.88374,                0.92495,                 0.7931,                0.60272,                0.94827,                0.84042,               0.011767,             0.00076665,             0.00076665
                     15,                0.70763,                 1.0597,                0.86801,                0.92646,                0.86066,                0.93788,                0.80956,                0.59271,                0.86939,                0.83909,              0.0058089,             0.00080893,             0.00080893
                     16,                0.68786,                0.99235,                0.86567,                0.91423,                0.89869,                0.94528,                0.79355,                0.62749,                0.84408,                 0.8404,              0.0008416,              0.0008416,              0.0008416
                     17,                0.73724,                 1.0117,                0.85394,                 0.9503,                0.88055,                0.95407,                0.81415,                0.60149,                 0.7895,                0.83157,              0.0008416,              0.0008416,              0.0008416
                     18,                0.67184,                0.92664,                0.84336,                 0.9503,                0.88055,                0.95407,                0.81415,                0.60149,                 0.7895,                0.83157,              0.0008317,              0.0008317,              0.0008317
                     19,                0.62312,                0.87245,                0.85994,                0.93813,                0.90852,                0.96024,                0.85177,                0.52971,                0.73373,                  0.819,              0.0008218,              0.0008218,              0.0008218
                     20,                0.59633,                0.82452,                 0.8494,                0.94136,                0.91927,                0.96329,                0.85872,                0.50985,                0.69606,                  0.812,              0.0008119,              0.0008119,              0.0008119
                     21,                0.57465,                0.81032,                0.84777,                0.94549,                0.94563,                0.96685,                0.84994,                0.53338,                0.66553,                0.80752,               0.000802,               0.000802,               0.000802
                     22,                0.61873,                 0.8017,                0.85536,                0.94549,                0.94563,                0.96685,                0.84994,                0.53338,                0.66553,                0.80752,              0.0007921,              0.0007921,              0.0007921
                     23,                0.61611,                0.77551,                0.84034,                0.95993,                0.93459,                0.96766,                0.85388,                0.52438,                0.62661,                0.80255,              0.0007822,              0.0007822,              0.0007822
                     24,                0.60426,                0.78336,                0.83874,                0.95858,                0.93785,                0.96958,                0.87109,                0.48837,                0.59934,                0.79447,              0.0007723,              0.0007723,              0.0007723
                     25,                0.59566,                0.78919,                0.84742,                0.94869,                0.96241,                0.97271,                0.87695,                0.50158,                0.58223,                0.79413,              0.0007624,              0.0007624,              0.0007624
                     26,                0.60239,                0.72116,                0.84179,                0.94869,                0.96241,                0.97271,                0.87695,                0.50158,                0.58223,                0.79413,              0.0007525,              0.0007525,              0.0007525
                     27,                0.55229,                0.69792,                0.82795,                0.94333,                0.96618,                0.97514,                0.87359,                0.50424,                0.55683,                0.79705,              0.0007426,              0.0007426,              0.0007426
                     28,                0.56288,                0.71962,                0.82953,                0.94737,                0.96983,                  0.978,                0.88169,                0.47618,                0.56139,                 0.7952,              0.0007327,              0.0007327,              0.0007327
                     29,                0.54011,                0.67088,                0.82969,                 0.9689,                0.95422,                0.98005,                0.88115,                0.45117,                0.56251,                0.78973,              0.0007228,              0.0007228,              0.0007228
                     30,                0.54663,                0.67543,                0.82588,                 0.9689,                0.95422,                0.98005,                0.88115,                0.45117,                0.56251,                0.78973,              0.0007129,              0.0007129,              0.0007129
                     31,                0.55242,                0.68509,                0.84121,                0.97042,                0.95949,                0.98006,                0.88537,                0.46155,                0.57508,                0.79246,               0.000703,               0.000703,               0.000703
                     32,                0.53749,                0.64569,                0.82727,                0.97123,                0.96933,                 0.9817,                0.88713,                0.46572,                0.56859,                0.79419,              0.0006931,              0.0006931,              0.0006931
                     33,                 0.5523,                0.67085,                0.83158,                0.97139,                0.97018,                0.98326,                 0.8902,                0.43679,                0.52276,                0.78998,              0.0006832,              0.0006832,              0.0006832
                     34,                0.50352,                0.58947,                 0.8215,                0.97139,                0.97018,                0.98326,                 0.8902,                0.43679,                0.52276,                0.78998,              0.0006733,              0.0006733,              0.0006733
                     35,                0.54129,                0.61462,                0.82393,                0.97201,                0.96978,                0.98354,                0.89145,                0.43392,                0.49785,                0.79026,              0.0006634,              0.0006634,              0.0006634
                     36,                0.51052,                0.56858,                0.82691,                0.97246,                0.97193,                0.98443,                0.88379,                0.45255,                0.49022,                0.79282,              0.0006535,              0.0006535,              0.0006535
                     37,                0.50257,                0.56672,                0.82852,                0.97373,                0.97541,                0.98488,                0.88725,                0.43726,                0.47293,                  0.785,              0.0006436,              0.0006436,              0.0006436
                     38,                0.51167,                0.56774,                0.81934,                0.97373,                0.97541,                0.98488,                0.88725,                0.43726,                0.47293,                  0.785,              0.0006337,              0.0006337,              0.0006337
                     39,                0.49913,                0.55953,                0.81848,                0.97232,                0.97647,                0.98501,                0.90478,                0.41613,                0.45105,                0.77809,              0.0006238,              0.0006238,              0.0006238
                     40,                0.49458,                0.59554,                0.82545,                0.97991,                 0.9745,                0.98595,                0.89574,                0.40668,                0.43582,                0.77877,              0.0006139,              0.0006139,              0.0006139
                     41,                0.48756,                0.53314,                0.81467,                0.97732,                0.97776,                0.98641,                0.89861,                0.40177,                0.44074,                0.78123,               0.000604,               0.000604,               0.000604
                     42,                0.48351,                0.53451,                0.83133,                0.97732,                0.97776,                0.98641,                0.89861,                0.40177,                0.44074,                0.78123,              0.0005941,              0.0005941,              0.0005941
                     43,                0.47427,                0.52129,                0.81041,                0.97899,                0.97614,                0.98654,                0.89993,                0.42769,                0.45454,                0.78544,              0.0005842,              0.0005842,              0.0005842
                     44,                0.54459,                0.55859,                0.82394,                0.97982,                0.97331,                0.98657,                 0.8866,                0.46711,                0.47075,                0.79365,              0.0005743,              0.0005743,              0.0005743
                     45,                0.50783,                0.54354,                0.81469,                0.98014,                0.97196,                0.98615,                 0.8848,                0.47096,                0.46842,                0.79799,              0.0005644,              0.0005644,              0.0005644
                     46,                0.52617,                0.60699,                0.83904,                0.98014,                0.97196,                0.98615,                 0.8848,                0.47096,                0.46842,                0.79799,              0.0005545,              0.0005545,              0.0005545
                     47,                0.48448,                 0.5235,                 0.8201,                0.98416,                 0.9691,                 0.9861,                0.89833,                0.42906,                0.44615,                0.79136,              0.0005446,              0.0005446,              0.0005446
                     48,                0.49382,                0.55085,                0.81375,                0.98632,                0.97177,                0.98702,                0.90313,                0.40574,                0.44415,                0.78069,              0.0005347,              0.0005347,              0.0005347
                     49,                0.49194,                0.51895,                0.82228,                0.98418,                0.97219,                0.98707,                0.89884,                0.40852,                0.44245,                0.77907,              0.0005248,              0.0005248,              0.0005248
                     50,                0.49576,                0.51461,                0.81141,                0.98418,                0.97219,                0.98707,                0.89884,                0.40852,                0.44245,                0.77907,              0.0005149,              0.0005149,              0.0005149
                     51,                0.46635,                0.51555,                0.81583,                0.98287,                0.97664,                0.98727,                0.89362,                0.42151,                0.45626,                0.78285,               0.000505,               0.000505,               0.000505
                     52,                0.48326,                0.51685,                0.81336,                0.98388,                0.97465,                  0.987,                0.89979,                0.41716,                 0.4553,                0.78526,              0.0004951,              0.0004951,              0.0004951
                     53,                  0.477,                0.51335,                 0.8254,                0.98206,                0.97951,                0.98778,                0.90771,                0.39964,                0.43669,                0.78181,              0.0004852,              0.0004852,              0.0004852
                     54,                0.47501,                0.50357,                0.82476,                0.98206,                0.97951,                0.98778,                0.90771,                0.39964,                0.43669,                0.78181,              0.0004753,              0.0004753,              0.0004753
                     55,                0.48627,                0.53775,                0.82087,                0.98214,                0.98177,                 0.9878,                 0.9148,                0.37942,                  0.422,                0.77986,              0.0004654,              0.0004654,              0.0004654
                     56,                0.44587,                0.48418,                0.81386,                0.98192,                0.98273,                0.98848,                0.91986,                0.36267,                0.40228,                0.78034,              0.0004555,              0.0004555,              0.0004555
                     57,                0.41662,                0.45275,                0.82389,                0.98167,                0.98522,                 0.9888,                0.91347,                0.37064,                 0.4029,                0.78083,              0.0004456,              0.0004456,              0.0004456
                     58,                0.46514,                0.48021,                0.81352,                0.98167,                0.98522,                 0.9888,                0.91347,                0.37064,                 0.4029,                0.78083,              0.0004357,              0.0004357,              0.0004357
                     59,                0.44103,                0.48392,                0.81423,                0.98055,                0.98411,                 0.9891,                0.91076,                0.37964,                0.40637,                 0.7811,              0.0004258,              0.0004258,              0.0004258
                     60,                0.43829,                0.47349,                 0.8037,                 0.9855,                0.97802,                 0.9893,                0.91232,                0.36836,                0.40791,                0.77763,              0.0004159,              0.0004159,              0.0004159
                     61,                0.45683,                0.47823,                0.80906,                0.98534,                0.97806,                 0.9896,                0.91744,                0.34818,                0.40191,                0.77464,               0.000406,               0.000406,               0.000406
                     62,                0.43826,                0.48859,                0.80914,                0.98534,                0.97806,                 0.9896,                0.91744,                0.34818,                0.40191,                0.77464,              0.0003961,              0.0003961,              0.0003961
                     63,                0.43208,                0.47708,                0.81378,                0.98536,                0.97587,                0.98938,                  0.919,                0.34182,                0.39632,                0.77433,              0.0003862,              0.0003862,              0.0003862
                     64,                0.40743,                0.46105,                0.80084,                0.98156,                 0.9797,                0.98951,                0.92305,                0.34165,                0.39164,                 0.7748,              0.0003763,              0.0003763,              0.0003763
                     65,                0.42625,                0.46497,                  0.802,                0.98072,                0.98073,                0.98985,                0.92341,                0.33387,                0.38427,                0.77412,              0.0003664,              0.0003664,              0.0003664
                     66,                0.43885,                0.47484,                0.81169,                0.98072,                0.98073,                0.98985,                0.92341,                0.33387,                0.38427,                0.77412,              0.0003565,              0.0003565,              0.0003565
